warrior-queen-najeela-midrange,7/6/2018,6/15/2019,Pongo_Pygmaeu5
urza-paradox-scepter,5/25/2019,6/20/2018,Sickrobot
tana-and-tymna-blood-pod-primer,4/2/2017,1/7/2019,LabManiac_Luke
sacred-hulk,10/20/2018,5/26/2019,Sickrobot
e-man-1,6/10/2018,10/12/2018,biouvoiur
4c-rashmi,5/10/2019,5/10/2019,Danielb162
gitrog-land-combo,5/20/2017,6/1/2019,Leptys
grixis-consultation,6/10/2018,5/28/2019,Nakhla
paradox-scepter-thrasios-1,8/20/2018,6/20/2019,AlwaysSleepy
grixis-flux-1,4/6/2019,4/6/2019,Wedge-cEDH
meta-pod,1/25/2019,4/6/2019,infiniteimoc Lerker
breakfast-hulk,4/21/2017,5/25/2019,LabManiac_Sigi
food-chain-tazri,6/1/2019,6/1/2019,ShaperSavant
chain-veil-teferi,4/2/2017,5/20/2019,LabManiac_Sigi
ad-nauseam-doomsday-zur,3/4/2016,5/21/2019,Suasion
