lea,Limited Edition Alpha,core,8/5/1993
leb,Limited Edition Beta,core,10/4/1993
2ed,Unlimited Edition,core,12/1/1993
arn,Arabian Nights,expansion,12/17/1993
atq,Antiquities,expansion,3/4/1994
3ed,Revised Edition,core,4/1/1994
fbb,Foreign Black Border,core,4/1/1994
leg,Legends,expansion,6/1/1994
sum,Summer Magic / Edgar,core,6/21/1994
pdrc,Dragon Con,promo,7/15/1994
drk,The Dark,expansion,8/1/1994
phpr,HarperPrism Book Promos,promo,9/1/1994
fem,Fallen Empires,expansion,11/1/1994
plgm,DCI Legend Membership,promo,1/1/1995
pmei,Magazine Inserts,promo,1/1/1995
4ed,Fourth Edition,core,4/1/1995
4bb,Fourth Edition Foreign Black Border,core,4/1/1995
ice,Ice Age,expansion,6/1/1995
chr,Chronicles,masters,7/1/1995
ren,Renaissance,masters,8/1/1995
rin,Rinascimento,masters,8/1/1995
hml,Homelands,expansion,10/1/1995
all,Alliances,expansion,6/10/1996
rqs,Rivals Quick Start Set,box,7/1/1996
parl,Arena League 1996,promo,8/2/1996
mir,Mirage,expansion,10/8/1996
mgb,Multiverse Gift Box,box,11/1/1996
itp,Introductory Two-Player Set,starter,12/31/1996
vis,Visions,expansion,2/3/1997
5ed,Fifth Edition,core,3/24/1997
por,Portal,starter,5/1/1997
ppod,Portal Demo Game,starter,5/1/1997
wth,Weatherlight,expansion,6/9/1997
ppre,Prerelease Events,promo,10/1/1997
tmp,Tempest,expansion,10/14/1997
jgp,Judge Gift Cards 1998,promo,1/1/1998
sth,Stronghold,expansion,3/2/1998
p02,Portal Second Age,starter,6/1/1998
exo,Exodus,expansion,6/15/1998
ugl,Unglued,funny,8/11/1998
palp,Asia Pacific Land Program,promo,9/1/1998
usg,Urza's Saga,expansion,10/12/1998
ath,Anthologies,box,11/1/1998
g99,Judge Gift Cards 1999,promo,1/1/1999
pal99,Arena League 1999,promo,1/1/1999
psus,Junior Super Series,promo,1/1/1999
ulg,Urza's Legacy,expansion,2/15/1999
6ed,Classic Sixth Edition,core,4/21/1999
ptk,Portal Three Kingdoms,starter,5/1/1999
uds,Urza's Destiny,expansion,6/7/1999
s99,Starter 1999,starter,7/1/1999
pgru,Guru,promo,7/12/1999
pwor,Worlds,promo,8/4/1999
pwos,Wizards of the Coast Online Store,promo,9/4/1999
mmq,Mercadian Masques,expansion,10/4/1999
brb,Battle Royale Box Set,box,11/12/1999
fnm,Friday Night Magic 2000,promo,1/1/2000
g00,Judge Gift Cards 2000,promo,1/1/2000
pal00,Arena League 2000,promo,1/1/2000
pelp,European Land Program,promo,2/5/2000
nem,Nemesis,expansion,2/14/2000
s00,Starter 2000,starter,4/1/2000
pcy,Prophecy,expansion,6/5/2000
btd,Beatdown Box Set,box,10/1/2000
inv,Invasion,expansion,10/2/2000
f01,Friday Night Magic 2001,promo,1/1/2001
g01,Judge Gift Cards 2001,promo,1/1/2001
mpr,Magic Player Rewards 2001,promo,1/1/2001
pal01,Arena League 2001,promo,1/1/2001
pls,Planeshift,expansion,2/5/2001
7ed,Seventh Edition,core,4/11/2001
